State,Men,Women
Kerala,17.8,28.1
Tamil Nadu,14.5,20.9
Karnataka,10.9,15.3
Andhra Pradesh,13.6,15.6
Maharashtra,11.9,14.5
Gujarat,11.3,16.7
Madhya Pradesh,4.3,7.6
Odisha,6,6.6
West Bengal,5.5,11.4
Uttar Pradesh,7.3,9.2
Delhi,16.8,26.4
Haryana,10.8,17.4
Himachal Pradsh,10.6,13.5
Jammu and Kashmir,6.2,16.7
Punjab,22.2,29.9
Rajasthan,6.2,8.9
Uttarakhand,7.9,12.8
Chhattisgarh,4.9,5 .6
Bihar,6.3,4.6
Jharkhand,4.9,5.4
Goa,15.4,20.2
Arunachal Pradesh,7.1,8.8
Assam,5,7.8
Manipur,9.2,13.3
Meghalaya,5.9,5.3
Mizoram,11.4,10.6
Nagaland,5.7,6.4
Sikkim,11.9,15.4
Tripura,4.8,7.1
